"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","ath00052","Galactose metabolism","26/1512","65/6356",0.4,1.68148148148148,3.085194158305,0.00257240836423585,0.0140967978360125,0.0140967978360125,"AT1G55740/AT2G22480/AT5G08380/AT1G12780/AT1G12240/AT5G61580/AT1G62660/AT5G20250/AT3G47800/AT4G10960/AT5G15140/AT2G47180/AT4G26270/AT1G72990/AT1G56600/AT4G34860/AT3G13790/AT5G11720/AT5G40390/AT5G17310/AT1G50460/AT5G08370/AT3G17940/AT5G51820/AT3G57520/AT1G56560",26
"Metabolism","Amino acid metabolism","ath00310","Lysine degradation","15/1512","32/6356",0.46875,1.97048611111111,3.07468046654191,0.0035277454141785,0.0181452533814568,0.0181452533814568,"AT4G34240/AT4G36250/AT3G16950/AT4G33150/AT4G02020/AT4G16210/AT1G48030/AT1G54100/AT1G23800/AT5G48230/AT5G47720/AT2G24580/AT2G17900/AT1G44170/AT3G48000",15
"Metabolism","Amino acid metabolism","ath00220","Arginine biosynthesis","17/1512","38/6356",0.447368421052632,1.88060428849903,3.0416860741689,0.0035760718343017,0.0181452533814568,0.0181452533814568,"AT4G17830/AT5G37600/AT2G30970/AT4G24830/AT1G67550/AT4G08900/AT5G35630/AT1G70580/AT3G47450/AT1G17290/AT1G75330/AT3G57560/AT2G19940/AT5G18170/AT1G51720/AT5G11520/AT5G07440",17
"Metabolism","Metabolism of cofactors and vitamins","ath00860","Porphyrin metabolism","23/1512","57/6356",0.403508771929825,1.69623131903834,2.94976069884583,0.00390787631148029,0.0186997565168245,0.0186997565168245,"AT5G01600/AT1G74470/AT2G40300/AT4G25080/AT2G30390/AT2G26540/AT5G13630/AT1G44446/AT5G04900/AT1G04620/AT4G01690/AT2G40490/AT5G54190/AT1G03475/AT1G44000/AT1G19670/AT3G51820/AT3G09150/AT3G56940/AT1G58290/AT5G43860/AT1G08520/AT5G26710",23
"Cellular Processes","Transport and catabolism","ath04146","Peroxisome","33/1512","90/6356",0.366666666666667,1.54135802469136,2.88963004378774,0.00395834262034971,0.0186997565168245,0.0186997565168245,"AT5G51100/AT4G34890/AT2G47240/AT2G28190/AT5G27450/AT5G17380/AT3G11980/AT1G20630/AT1G49430/AT1G77590/AT3G07560/AT2G04350/AT3G44550/AT3G23790/AT2G26800/AT3G51840/AT5G23310/AT4G14305/AT3G14420/AT2G33150/AT2G13360/AT4G23850/AT5G65110/AT4G35090/AT4G16760/AT5G14590/AT2G39970/AT2G01490/AT4G05530/AT2G24580/AT5G19750/AT1G65930/AT2G42770",33
"Metabolism","Amino acid metabolism","ath00270","Cysteine and methionine metabolism","43/1512","125/6356",0.344,1.44607407407407,2.81393926369319,0.00443855402381929,0.0202693967087748,0.0202693967087748,"AT1G77670/AT5G17920/AT5G09660/AT2G05830/AT1G10070/AT1G80740/AT1G50090/AT2G30970/AT4G34200/AT1G23820/AT3G61440/AT4G14880/AT1G64660/AT4G23100/AT3G25570/AT3G08860/AT4G13940/AT1G05010/AT3G02470/AT5G43330/AT4G39660/AT1G53240/AT1G17745/AT5G04950/AT5G43850/AT4G19710/AT4G17260/AT1G80360/AT2G17640/AT2G19590/AT2G17265/AT5G49160/AT3G49700/AT1G49820/AT5G27380/AT5G11520/AT3G26115/AT3G22460/AT5G14060/AT4G11280/AT3G04940/AT5G53970/AT1G14810",43
"Metabolism","Global and overview maps","ath01250","Biosynthesis of nucleotide sugars","36/1512","101/6356",0.356435643564356,1.4983498349835,2.82041460197614,0.00461687361358277,0.020403602743898,0.0204036027438981,"AT3G62830/AT1G30540/AT5G19220/AT3G06580/AT2G19800/AT4G30440/AT1G01220/AT5G15490/AT4G10260/AT2G39770/AT3G46440/AT5G15650/AT4G39210/AT1G12780/AT5G51830/AT4G10960/AT1G74910/AT1G30620/AT1G63000/AT3G29360/AT1G27680/AT3G59480/AT3G01640/AT5G17310/AT1G66430/AT1G50460/AT5G28840/AT2G21590/AT5G42740/AT2G28760/AT1G78570/AT3G02570/AT5G48300/AT5G51820/AT4G16130/AT1G08200",36
"Metabolism","Amino acid metabolism","ath00360","Phenylalanine metabolism","15/1512","33/6356",0.454545454545455,1.91077441077441,2.93047354385392,0.00506750941320734,0.0216952746752939,0.0216952746752939,"AT1G31690/AT2G30970/AT2G22250/AT5G57170/AT1G06570/AT3G15290/AT2G42490/AT2G37040/AT4G16210/AT4G34880/AT2G20340/AT3G53260/AT5G11520/AT1G08980/AT5G53970",15
"Metabolism","Biosynthesis of other secondary metabolites","ath00940","Phenylpropanoid biosynthesis","44/1512","130/6356",0.338461538461538,1.42279202279202,2.72098099398571,0.00564248466841039,0.0234248605930977,0.0234248605930977,"AT5G54160/AT2G24800/AT3G19450/AT4G15490/AT2G22420/AT5G17820/AT4G15480/AT4G39330/AT5G48930/AT1G51680/AT2G41480/AT5G06720/AT4G34050/AT5G47000/AT5G16120/AT3G24503/AT4G21960/AT5G05340/AT5G63380/AT2G37040/AT2G38390/AT2G19070/AT5G64120/AT5G42180/AT1G52760/AT4G05160/AT4G36220/AT4G37990/AT5G14130/AT4G19010/AT5G66390/AT1G65060/AT1G49570/AT3G50740/AT5G58390/AT2G30490/AT1G15950/AT4G26220/AT2G40890/AT2G39420/AT1G05260/AT4G30170/AT3G53260/AT1G68850",44
"Metabolism","Global and overview maps","ath01212","Fatty acid metabolism","26/1512","70/6356",0.371428571428571,1.56137566137566,2.63843875291396,0.00819726786863472,0.0330301675883223,0.0330301675883223,"AT1G08510/AT2G47240/AT5G16390/AT3G12120/AT5G46290/AT2G43710/AT1G67730/AT1G62640/AT1G49430/AT1G77590/AT2G04350/AT4G29010/AT3G23790/AT3G51840/AT1G43800/AT2G33150/AT2G22230/AT2G05990/AT4G23850/AT4G16210/AT5G65110/AT4G16760/AT3G03980/AT5G48230/AT5G47720/AT1G74960",26
"Metabolism","Carbohydrate metabolism","ath00650","Butanoate metabolism","10/1512","20/6356",0.5,2.10185185185185,2.75716162509656,0.00957088362315854,0.0374631730392206,0.0374631730392206,"AT3G48560/AT3G17760/AT3G15290/AT2G26800/AT5G17330/AT4G16210/AT4G11820/AT5G48230/AT5G47720/AT3G25530",10
"Metabolism","Lipid metabolism","ath00564","Glycerophospholipid metabolism","34/1512","99/6356",0.343434343434343,1.443696221474,2.48571799233147,0.0109533677718019,0.0416836495760239,0.0416836495760239,"AT3G02040/AT1G80950/AT3G15650/AT4G24730/AT1G80860/AT2G20900/AT2G44810/AT4G30340/AT2G45670/AT5G57190/AT3G15730/AT4G00400/AT1G55180/AT2G42010/AT4G09760/AT2G38110/AT2G38670/AT5G42870/AT4G04870/AT1G32200/AT1G43710/AT4G22340/AT5G63770/AT4G30580/AT2G41540/AT5G04040/AT2G06925/AT1G15080/AT1G15110/AT1G02390/AT4G35790/AT1G74320/AT3G05510/AT1G12640",34
"Metabolism","Metabolism of cofactors and vitamins","ath00750","Vitamin B6 metabolism","8/1512","15/6356",0.533333333333333,2.24197530864198,2.69036571939824,0.0126700594217585,0.0456792939192009,0.0456792939192009,"AT5G37850/AT5G60540/AT5G53580/AT1G17710/AT5G01410/AT5G49970/AT4G29840/AT4G29530",8
"Metabolism","Carbohydrate metabolism","ath00051","Fructose and mannose metabolism","23/1512","62/6356",0.370967741935484,1.55943847072879,2.47295611416253,0.0126701691162747,0.0456792939192009,0.0456792939192009,"AT3G54050/AT5G01930/AT2G22480/AT1G43670/AT4G10260/AT2G39770/AT5G66460/AT5G51830/AT5G61580/AT2G21330/AT1G74910/AT4G26270/AT4G26530/AT3G59480/AT3G55440/AT1G76550/AT5G51970/AT1G66430/AT1G50460/AT2G01140/AT3G02570/AT4G38970/AT5G57655",23
