"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","ath00071","Fatty acid degradation","21/790","47/6356",0.446808510638298,3.59482897926205,6.7263138381217,3.90885749708251e-08,5.35513477100304e-06,5.35513477100304e-06,"AT3G48000/AT1G44170/AT1G22430/AT5G43940/AT1G77120/AT1G32780/AT4G16760/AT5G47720/AT3G05970/AT5G42250/AT4G16210/AT3G51840/AT4G36250/AT3G06810/AT2G47240/AT2G33150/AT4G23850/AT5G65110/AT1G54100/AT3G06860/AT1G23800",21
"Organismal Systems","Environmental adaptation","ath04626","Plant-pathogen interaction","54/790","216/6356",0.25,2.01139240506329,5.69720832360272,1.99617050511735e-07,1.36737679600539e-05,1.36737679600539e-05,"AT3G50770/AT5G46330/AT1G18210/AT3G57530/AT2G41410/AT4G12860/AT5G12480/AT5G56030/AT5G13160/AT2G28260/AT4G33430/AT1G80460/AT4G23650/AT2G38470/AT3G25070/AT4G23570/AT2G24610/AT2G14580/AT1G09090/AT3G43810/AT1G19440/AT3G25600/AT3G59350/AT1G64060/AT5G24430/AT1G18890/AT2G17290/AT2G27480/AT4G24190/AT2G26640/AT2G38910/AT4G01370/AT3G21630/AT4G01250/AT1G24620/AT5G04870/AT5G53130/AT3G17410/AT5G20480/AT3G20410/AT2G34930/AT2G15680/AT3G62220/AT1G21550/AT5G66210/AT3G45640/AT4G08500/AT4G23550/AT5G37780/AT5G04170/AT3G17700/AT1G76650/AT5G52640/AT1G12310",54
"Metabolism","Metabolism of other amino acids","ath00410","beta-Alanine metabolism","19/790","47/6356",0.404255319148936,3.25246431457043,5.83883639733326,1.16366342333741e-06,5.31406296657417e-05,5.31406296657417e-05,"AT3G48000/AT1G44170/AT1G65840/AT3G17810/AT4G16760/AT5G17330/AT4G16210/AT5G65940/AT3G51840/AT2G14170/AT4G36250/AT2G43020/AT1G65960/AT2G42490/AT1G31710/AT5G13700/AT5G65110/AT1G54100/AT1G23800",19
"Metabolism","Amino acid metabolism","ath00280","Valine, leucine and isoleucine degradation","20/790","52/6356",0.384615384615385,3.09444985394353,5.7129872978333,1.55843288714464e-06,5.3376326384704e-05,5.3376326384704e-05,"AT4G34030/AT3G48000/AT1G44170/AT5G47720/AT5G09300/AT4G16210/AT4G39660/AT3G45300/AT5G65940/AT1G03090/AT3G08860/AT2G14170/AT4G36250/AT3G06810/AT1G10070/AT2G33150/AT2G38400/AT1G54100/AT1G23800/AT3G06850",20
"Metabolism","Amino acid metabolism","ath00330","Arginine and proline metabolism","20/790","54/6356",0.37037037037037,2.97984060009376,5.50411663900128,3.11389905678157e-06,8.53208341558151e-05,8.53208341558151e-05,"AT3G48000/AT1G44170/AT1G65840/AT5G11520/AT5G46180/AT2G30970/AT5G53120/AT4G34880/AT1G23820/AT4G36250/AT3G28480/AT2G43020/AT1G08980/AT5G13700/AT5G18900/AT5G62530/AT5G38710/AT4G34710/AT1G54100/AT1G23800",20
"Metabolism","Glycan biosynthesis and metabolism","ath00520","Amino sugar and nucleotide sugar metabolism","34/790","124/6356",0.274193548387097,2.20604328297264,5.10928038723455,4.38740779429658e-06,9.33977442728602e-05,9.33977442728602e-05,"AT3G62830/AT5G24090/AT5G15650/AT3G02230/AT3G25140/AT3G59480/AT3G46440/AT5G51830/AT4G19810/AT1G12780/AT3G02570/AT3G01640/AT5G15490/AT4G30440/AT4G16130/AT3G02350/AT1G02730/AT1G74910/AT2G47650/AT3G24090/AT3G61130/AT3G29360/AT3G19620/AT1G06780/AT3G54420/AT5G42740/AT3G06580/AT1G30540/AT1G30620/AT3G10740/AT1G47840/AT5G47780/AT1G50460/AT4G23920",34
"Environmental Information Processing","Signal transduction","ath04016","MAPK signaling pathway - plant","38/790","146/6356",0.26027397260274,2.09405236691521,5.03811944834003,4.77214751759139e-06,9.33977442728602e-05,9.33977442728602e-05,"AT1G10940/AT3G06110/AT5G46330/AT2G38310/AT4G11280/AT3G18040/AT2G32510/AT4G33430/AT2G38470/AT2G14580/AT1G09090/AT3G18690/AT1G63440/AT5G46790/AT3G43810/AT1G64060/AT3G06030/AT2G18170/AT3G61510/AT5G03730/AT4G13000/AT4G01370/AT4G01250/AT5G44790/AT4G29810/AT1G66340/AT5G66880/AT4G33950/AT5G53160/AT2G25490/AT3G23150/AT3G45640/AT4G08500/AT4G23550/AT5G37780/AT4G35090/AT3G04580/AT2G40940",38
"Metabolism","Lipid metabolism","ath00592","alpha-Linolenic acid metabolism","17/790","46/6356",0.369565217391304,2.97336268574573,5.06023714411366,1.77217424274876e-05,0.000303484839070726,0.000303484839070726,"AT3G25780/AT3G01420/AT1G77120/AT1G32780/AT4G16760/AT1G19640/AT1G20510/AT5G42650/AT5G04040/AT3G51840/AT2G06050/AT1G67560/AT2G33150/AT5G65110/AT3G06860/AT4G13010/AT1G17420",17
"Cellular Processes","Transport and catabolism","ath04144","Endocytosis","37/790","156/6356",0.237179487179487,1.90824407659851,4.32681922469527,5.90523414578327e-05,0.000898907864413675,0.000898907864413675,"AT3G07940/AT5G02500/AT1G03950/AT5G63880/AT1G06400/AT3G11130/AT4G21160/AT2G27600/AT2G42010/AT3G46060/AT2G17840/AT1G13980/AT2G41210/AT5G17060/AT5G14670/AT4G38200/AT2G43160/AT5G60860/AT3G60860/AT1G47830/AT1G48790/AT1G16030/AT2G06530/AT5G44560/AT1G07410/AT3G10640/AT1G10600/AT3G46540/AT5G59840/AT3G12580/AT5G61980/AT5G54310/AT1G60890/AT5G45130/AT4G26750/AT3G17660/AT4G35790",37
"Metabolism","Global and overview maps","ath01250","Biosynthesis of nucleotide sugars","27/790","101/6356",0.267326732673267,2.15079583907758,4.39182508449754,6.83446941055136e-05,0.000936322309245536,0.000936322309245536,"AT3G62830/AT2G19800/AT5G15650/AT3G02230/AT3G59480/AT5G66280/AT3G46440/AT5G51830/AT1G12780/AT3G02570/AT3G01640/AT1G14520/AT5G15490/AT4G30440/AT4G16130/AT1G74910/AT2G47650/AT3G24090/AT3G29360/AT5G42740/AT3G06580/AT1G30540/AT1G30620/AT1G78570/AT1G47840/AT1G50460/AT4G23920",27
