"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GUL01G000006",905.759504445632,-1.40649552809999,0.320870566180694,-4.38337347311544,1.16855529164705e-05,3.97778814464542e-05
"GUL01G000022",1189.84999107711,1.89415779242871,0.231977681306876,8.16525875143563,3.20746945385879e-16,2.44931309290779e-15
"GUL01G000034",270.962357199234,-2.97441957817229,0.502615078095373,-5.91788767946169,3.26102532655061e-09,1.58611463712904e-08
"GUL01G000058",128.280844220128,4.79613207881061,1.12637979680456,4.25800612938622,2.06258295229256e-05,6.81410329763311e-05
"GUL01G000059",31.0628928608217,-4.05433935308379,1.54744545829256,-2.62002084232249,0.00879243930721547,0.0190579208616965
"GUL01G000068",15.769849277631,-5.91574224960248,1.9823862796662,-2.98415213537424,0.00284365343218624,0.0067910660879777
"GUL01G000084",310.233006261874,-1.39852742118883,0.584854878852259,-2.39123835973353,0.0167916474087742,0.0341807582610555
"GUL01G000090",35.3420726054398,8.31356796279652,1.84784212871525,4.49906830978937,6.82519255857071e-06,2.38721249771984e-05
"GUL01G000101",414.421487003299,-3.70031209628075,0.759579246682856,-4.87152869491934,1.10738075826504e-06,4.22550465642086e-06
"GUL01G000112",63.9226047959572,3.33936508754301,1.39744159953655,2.38962765145283,0.0168654617816443,0.0343054059760398
"GUL01G000113",200.854443475934,11.3849136003906,1.40137951237954,8.12407595502738,4.50783417124735e-16,3.4115255647525e-15
"GUL01G000119",16.8262673348596,-7.09496268952817,2.0581429043054,-3.44726436375546,0.000566294158080686,0.00153165090729573
"GUL01G000132",6.5718470306214,-6.59151396331102,2.62381212740708,-2.51218976178181,0.0119984550763854,0.0252597429181443
"GUL01G000142",858.711134849563,-2.14668763702228,0.383460857193378,-5.59819234936858,2.16598359088931e-08,9.80625996517181e-08
"GUL01G000144",192.497227929325,1.5263043179696,0.550245161952159,2.77386231358142,0.00553951177698448,0.0125270651011269
"GUL01G000154",790.783239140761,-1.12606067693995,0.259442096108741,-4.34031598506658,1.42277972453726e-05,4.78739824229752e-05
