"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ath01200","Carbon metabolism","85/980","275/6356",0.309090909090909,2.00467532467532,7.27186430743311,2.85073211169541e-11,3.90550299302271e-09,3.90550299302271e-09,"AT4G34200/AT5G47760/AT2G36530/AT1G01090/AT5G07440/AT2G44350/AT5G36700/AT1G06550/AT4G38970/AT1G13440/AT4G37930/AT3G25530/AT1G43670/AT2G35120/AT5G61410/AT3G14420/AT4G00570/AT5G35790/AT1G53240/AT1G17745/AT5G43330/AT1G67090/AT1G79750/AT5G24400/AT5G38410/AT5G56350/AT2G30970/AT1G65930/AT5G66760/AT2G13360/AT3G54050/AT4G26530/AT1G53310/AT2G30650/AT3G14940/AT3G55440/AT3G04120/AT3G51840/AT1G09780/AT2G24270/AT5G14780/AT2G45290/AT5G42740/AT1G68010/AT3G61440/AT5G61580/AT1G12900/AT3G55800/AT1G74030/AT2G01140/AT3G60750/AT1G42970/AT2G21330/AT5G16390/AT1G32470/AT2G34590/AT4G37560/AT1G56190/AT1G22170/AT5G40760/AT2G44160/AT1G70580/AT1G32060/AT3G22960/AT5G09660/AT2G30660/AT3G52990/AT5G58330/AT2G05710/AT5G18170/AT1G48030/AT2G22480/AT4G13930/AT2G20420/AT4G15530/AT2G13560/AT1G11860/AT1G68750/AT4G33010/AT3G02360/AT5G14590/AT5G65750/AT5G48230/AT5G52920/AT3G16950",85
"Metabolism","Energy metabolism","ath00710","Carbon fixation by Calvin cycle","32/980","71/6356",0.450704225352113,2.92313883299799,6.95710176535405,2.34375445987748e-09,1.60547180501607e-07,1.60547180501607e-07,"AT4G38970/AT1G13440/AT1G43670/AT5G61410/AT4G00570/AT1G53240/AT5G43330/AT1G67090/AT1G79750/AT5G38410/AT2G30970/AT3G54050/AT4G26530/AT1G53310/AT3G14940/AT3G55440/AT3G04120/AT2G45290/AT1G12900/AT3G55800/AT2G01140/AT3G60750/AT1G42970/AT2G21330/AT1G56190/AT1G70580/AT1G32060/AT5G09660/AT5G58330/AT4G15530/AT2G13560/AT1G68750",32
"Metabolism","Global and overview maps","ath01230","Biosynthesis of amino acids","70/980","242/6356",0.289256198347107,1.87603305785124,5.93207517454826,3.77933980182313e-08,1.72589850949923e-06,1.72589850949923e-06,"AT4G34200/AT2G36530/AT5G14060/AT2G44350/AT1G11790/AT2G45300/AT2G45440/AT3G58610/AT2G39800/AT4G27070/AT5G66120/AT4G38970/AT1G13440/AT4G37930/AT5G61410/AT4G33510/AT1G17745/AT5G56350/AT5G34930/AT2G30970/AT1G65930/AT4G26530/AT3G55440/AT3G04120/AT5G05730/AT3G06350/AT1G09780/AT4G39980/AT3G29200/AT2G45290/AT2G22250/AT5G17990/AT3G61440/AT5G61580/AT2G29690/AT1G74030/AT3G57560/AT4G24830/AT1G08630/AT2G01140/AT3G60750/AT4G08900/AT2G21330/AT5G35630/AT5G10870/AT5G37600/AT5G28237/AT1G56190/AT1G22170/AT1G22410/AT1G70580/AT3G22960/AT3G14390/AT5G53460/AT5G17920/AT3G48560/AT1G75330/AT3G52990/AT2G13810/AT2G05710/AT4G33680/AT4G29840/AT2G22480/AT4G13930/AT1G50090/AT5G14800/AT2G17265/AT2G27820/AT5G14590/AT5G52920",70
"Metabolism","Energy metabolism","ath00195","Photosynthesis","31/980","77/6356",0.402597402597403,2.61113172541744,6.07256756977162,1.05872991456126e-07,3.62614995737231e-06,3.62614995737231e-06,"AT5G66190/AT4G28660/AT4G12800/AT4G05180/AT4G03280/AT4G32260/AT1G67740/AT1G03130/AT3G16140/AT4G09650/AT2G27510/AT1G20340/AT3G55330/AT1G79040/AT2G20260/AT1G08380/AT1G03600/AT1G44575/AT3G50820/AT1G10960/AT1G30380/AT2G30570/AT4G14890/AT5G64040/AT1G06680/AT1G55670/AT1G14150/AT1G31330/AT3G01440/AT1G52230/AT4G04640",31
"Metabolism","Energy metabolism","ath00196","Photosynthesis - antenna proteins","13/980","22/6356",0.590909090909091,3.83246753246753,5.68170180279629,3.28987141576458e-06,7.51488467406282e-05,7.51488467406282e-05,"AT1G15820/AT1G19150/AT2G05100/AT5G54270/AT4G10340/AT2G40100/AT3G47470/AT1G29930/AT1G45474/AT1G61520/AT3G61470/AT3G54890/AT1G76570",13
"Metabolism","Biosynthesis of other secondary metabolites","ath00941","Flavonoid biosynthesis","14/980","25/6356",0.56,3.632,5.6293845621311,3.29119036820269e-06,7.51488467406282e-05,7.51488467406282e-05,"AT3G51240/AT5G08640/AT4G26220/AT4G34050/AT5G48930/AT5G07990/AT5G42800/AT2G19070/AT3G55120/AT5G13930/AT2G30490/AT2G40890/AT1G61720/AT5G05270",14
"Metabolism","Carbohydrate metabolism","ath00010","Glycolysis / Gluconeogenesis","38/980","119/6356",0.319327731092437,2.07106842737095,5.03551636165797,4.1548307358151e-06,8.0368333776141e-05,8.0368333776141e-05,"AT2G36530/AT1G01090/AT3G48000/AT5G66530/AT5G01320/AT5G51820/AT4G38970/AT1G13440/AT1G43670/AT5G54960/AT1G76550/AT5G56350/AT3G54050/AT4G26530/AT3G55440/AT3G04120/AT1G09780/AT2G24270/AT5G42740/AT4G36250/AT5G61580/AT1G74030/AT4G17260/AT2G01140/AT1G09870/AT2G21330/AT2G34590/AT1G56190/AT1G22170/AT4G34240/AT3G22960/AT3G52990/AT1G48030/AT2G22480/AT4G15530/AT5G24760/AT5G52920/AT3G16950",38
"Metabolism","Carbohydrate metabolism","ath00630","Glyoxylate and dicarboxylate metabolism","29/980","81/6356",0.358024691358025,2.32204585537919,5.11238260662158,4.69304138838779e-06,8.0368333776141e-05,8.0368333776141e-05,"AT5G47760/AT2G44350/AT5G36700/AT4G37930/AT3G25530/AT2G35120/AT3G14420/AT1G53240/AT5G43330/AT1G67090/AT5G38410/AT2G13360/AT5G47435/AT5G14780/AT1G68010/AT5G35630/AT1G32470/AT4G37560/AT5G37600/AT1G70580/AT5G09660/AT2G05710/AT1G48030/AT4G13930/AT5G04140/AT1G11860/AT4G33010/AT5G48230/AT3G16950",29
"Metabolism","Lipid metabolism","ath00592","alpha-Linolenic acid metabolism","18/980","46/6356",0.391304347826087,2.53788819875776,4.46920407213329,7.94440849727337e-05,0.00120931551569606,0.00120931551569606,"AT1G20510/AT3G25780/AT1G13280/AT1G19640/AT3G45140/AT4G13010/AT2G33150/AT2G44810/AT3G51840/AT4G29010/AT1G67560/AT1G72520/AT1G17420/AT1G76690/AT5G24760/AT2G06050/AT2G06925/AT5G42650",18
"Metabolism","Metabolism of terpenoids and polyketides","ath00906","Carotenoid biosynthesis","14/980","32/6356",0.4375,2.8375,4.44884824301057,0.000120344646462605,0.00164872165653769,0.00164872165653769,"AT3G14440/AT2G27150/AT1G31800/AT1G52340/AT4G19170/AT1G10830/AT4G14210/AT4G25700/AT5G17230/AT5G67030/AT2G29090/AT3G10230/AT3G53130/AT3G04870",14
