"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GUL01G000002",934.235073043274,0.179214802080384,0.169781115906345,1.05556381299345,0.29116754092664,0.389816984342272
"GUL01G000003",53.2596482741088,1.0554816505663,0.69502085050182,1.51863307381961,0.128854881242179,0.200228035773472
"GUL01G000005",588.919548390018,-0.278345872686773,0.30772387917656,-0.904531274698605,0.365713758565888,0.470425197928857
"GUL01G000006",905.759504445632,-1.40649552809999,0.320870566180694,-4.38337347311544,1.16855529164705e-05,3.97778814464542e-05
"GUL01G000008",7.06962850120108,-6.67989527441322,3.58453737983395,-1.8635306502851,0.0623876444026947,0.108425149169759
"GUL01G000010",7.51389869904111,5.04837705347761,4.25910903067665,1.18531294153688,NA,NA
"GUL01G000012",4.69637698306863,-2.00738258524782,3.41995100356023,-0.586962381378593,0.557228972077659,0.661606630627545
"GUL01G000019",230.547561128485,-0.193966794394268,0.437727673571627,-0.4431220736208,0.657677439888228,0.750901442462634
"GUL01G000020",134.853649896036,1.15962553111297,0.63701397002112,1.82040832020454,0.0686968463185359,0.117780419084584
"GUL01G000021",290.074231507163,-0.724463737345326,0.35680564906982,-2.03041554760688,0.0423143175960864,0.0770930366536077
"GUL01G000022",1189.84999107711,1.89415779242871,0.231977681306876,8.16525875143563,3.20746945385879e-16,2.44931309290779e-15
"GUL01G000024",13.9723750525223,1.2961274159934,2.65796844773044,0.487638375504464,0.625806008495626,0.723737483107536
"GUL01G000030",23.7017322547854,0.849425026555603,1.35287721621266,0.627865571521372,0.530092006394734,0.635721872120497
"GUL01G000031",117.741683830985,1.00659708662383,0.855180006862049,1.17705872277976,0.239172068752637,0.331189352482282
"GUL01G000032",2.60667782150747,0,4.4073563239245,0,1,NA
"GUL01G000034",270.962357199234,-2.97441957817229,0.502615078095373,-5.91788767946169,3.26102532655061e-09,1.58611463712904e-08
"GUL01G000036",15.7827794682761,-5.17696345973228,2.93833634976869,-1.76186890930299,0.0780914486787781,0.131598353812363
"GUL01G000037",15.3270413578375,4.55586246648878,2.29079153160515,1.98877217923732,0.046726354878254,0.0841629919108313
"GUL01G000044",8.22323081662515,3.53051568194555,4.11938034616233,0.857050183587594,NA,NA
"GUL01G000051",7.89074690743326,7.01321710666826,3.8141673250305,1.83872822270905,NA,NA
"GUL01G000052",9.91380937705149,20.3052290380386,4.24910548549465,4.77870674365591,NA,NA
"GUL01G000057",7.72909694618448,3.98005773946008,3.15631375582536,1.26098292101487,0.207315000566357,0.294418010583271
"GUL01G000058",128.280844220128,4.79613207881061,1.12637979680456,4.25800612938622,2.06258295229256e-05,6.81410329763311e-05
"GUL01G000059",31.0628928608217,-4.05433935308379,1.54744545829256,-2.62002084232249,0.00879243930721547,0.0190579208616965
"GUL01G000061",10.6207224854334,0,3.4609144865767,0,1,1
"GUL01G000062",25.5452818717478,0.59092615361051,2.60697553761209,0.226671154019259,0.820679459062851,0.886880188621353
"GUL01G000063",12.6623024022071,-0.629366570820158,1.71987533402132,-0.365937320205998,0.714411847408669,0.799608262082769
"GUL01G000064",2.48844152059002,-3.00522780850406,4.30801497343025,-0.697589917175045,0.485433688993868,NA
"GUL01G000068",15.769849277631,-5.91574224960248,1.9823862796662,-2.98415213537424,0.00284365343218624,0.0067910660879777
"GUL01G000079",3.59232242436853,-5.70732179806421,4.256478194481,-1.34085540611118,0.179967403112551,0.262087407411579
"GUL01G000080",306.024161718796,-0.580559433881874,0.288879549312174,-2.00969378159234,0.0444636085177602,0.0806079438507453
"GUL01G000081",27.7425585349812,1.63553636563781,1.01289017234666,1.61472231668376,0.106370842480563,0.170854685013119
"GUL01G000083",2.43482179889228,-4.32720949875174,3.86795144221531,-1.11873418355878,0.263253557346923,NA
"GUL01G000084",310.233006261874,-1.39852742118883,0.584854878852259,-2.39123835973353,0.0167916474087742,0.0341807582610555
"GUL01G000087",2.09006270660325,0,4.40735632392471,0,1,NA
"GUL01G000088",82.6133293849253,2.20323045525358,1.15375991441179,1.90960912034877,0.056183559947781,0.0989248232870643
"GUL01G000090",35.3420726054398,8.31356796279652,1.84784212871525,4.49906830978937,6.82519255857071e-06,2.38721249771984e-05
