"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","photosynthesis","105/2584","200/21006",0.525,4.26785990712074,17.3909513211387,2.04548746776146e-43,4.2668868577504e-40,4.2668868577504e-40,"AT5G66190/AT3G08010/AT4G04850/AT3G55330/AT1G70760/AT5G01920/AT1G32070/AT3G27925/AT3G54890/AT1G78995/AT4G19100/AT5G01600/AT5G38410/AT2G01918/AT1G67740/AT1G64150/AT1G03600/AT3G04260/AT2G30570/AT1G54500/AT2G05100/AT5G15802/AT5G54270/AT4G30950/AT5G52100/AT3G56650/AT1G29930/AT4G01037/AT3G15850/AT1G18730/AT2G40100/AT4G18370/AT3G05410/AT3G15095/AT1G34000/AT1G55480/AT1G14150/AT4G10340/AT1G79040/AT3G55800/AT3G01480/AT1G68830/AT5G24120/AT4G05180/AT5G08720/AT5G64040/AT4G04640/AT5G27390/AT1G64860/AT4G31390/AT1G64810/AT3G01440/AT4G33470/AT3G61320/AT3G56010/AT1G55370/AT1G67090/AT3G47470/AT3G49720/AT1G43670/AT5G08410/AT3G08940/AT1G76570/AT1G77090/AT3G61470/AT4G22890/AT1G61520/AT3G53920/AT1G06680/AT1G55670/AT4G23890/AT1G76450/AT2G31040/AT4G01050/AT1G67840/AT3G11670/AT2G34860/AT5G49740/AT2G46820/AT4G02260/AT3G55250/AT2G30950/AT1G76550/AT2G04700/AT3G50820/AT4G27800/AT5G23120/AT1G75690/AT1G64770/AT1G71500/AT2G05620/AT5G01500/AT5G02120/AT1G15820/AT4G25910/AT3G63540/AT2G40300/AT4G33520/AT1G02910/AT4G09650/AT1G42970/AT1G08380/AT4G02530/AT1G54780/AT3G54050",105
"GO:0019684","photosynthesis, light reaction","84/2584","146/21006",0.575342465753425,4.67710674752958,16.6980102079777,5.02074824776953e-39,5.23664042242362e-36,5.23664042242362e-36,"AT5G66190/AT3G08010/AT3G55330/AT1G70760/AT5G01920/AT1G32070/AT3G27925/AT3G54890/AT1G78995/AT4G19100/AT2G01918/AT1G67740/AT1G64150/AT1G03600/AT3G04260/AT2G30570/AT1G54500/AT2G05100/AT5G54270/AT4G30950/AT5G52100/AT3G56650/AT1G29930/AT3G15850/AT1G18730/AT2G40100/AT4G18370/AT3G05410/AT3G15095/AT1G34000/AT1G55480/AT1G14150/AT4G10340/AT1G79040/AT3G01480/AT1G68830/AT5G24120/AT4G05180/AT5G08720/AT5G64040/AT4G04640/AT4G31390/AT3G01440/AT4G33470/AT3G61320/AT3G56010/AT1G55370/AT3G47470/AT3G08940/AT1G76570/AT1G77090/AT3G61470/AT4G22890/AT1G61520/AT1G06680/AT1G55670/AT4G23890/AT1G76450/AT4G01050/AT3G11670/AT2G34860/AT5G49740/AT2G46820/AT3G55250/AT2G30950/AT3G50820/AT4G27800/AT5G23120/AT1G75690/AT1G64770/AT1G71500/AT2G05620/AT5G01500/AT5G02120/AT1G15820/AT4G25910/AT3G63540/AT4G33520/AT1G02910/AT4G09650/AT1G08380/AT4G02530/AT1G54780/AT3G54050",84
"GO:0009657","plastid organization","126/2584","318/21006",0.39622641509434,3.22102634499679,14.9467656354776,1.4003604102412e-35,9.73717271921048e-33,9.73717271921048e-33,"AT2G25870/AT3G08010/AT4G04850/AT4G39460/AT1G32070/AT1G79600/AT5G58140/AT4G38470/AT4G31850/AT4G01150/AT5G40270/AT5G46290/AT1G12410/AT5G24020/AT2G04270/AT1G21600/AT4G16390/AT1G56190/AT3G56910/AT2G40480/AT1G50840/AT3G02380/AT4G28740/AT2G34620/AT5G08050/AT5G22830/AT2G21290/AT5G48470/AT2G16070/AT5G62440/AT3G57190/AT1G78600/AT1G20830/AT1G09340/AT3G25690/AT3G56940/AT1G44575/AT3G46630/AT5G12130/AT5G22640/AT2G07050/AT5G61670/AT2G21280/AT1G42550/AT2G26570/AT2G33150/AT5G36170/AT1G74730/AT5G24120/AT2G39140/AT2G36250/AT1G45230/AT5G24660/AT1G28530/AT5G22370/AT1G03160/AT1G62750/AT5G56860/AT5G65460/AT4G13200/AT2G37860/AT4G31390/AT1G64810/AT4G31780/AT1G06950/AT1G24490/AT3G23400/AT1G63680/AT3G61320/AT3G29185/AT3G56290/AT1G75100/AT5G54600/AT2G01110/AT3G17040/AT2G28800/AT5G17790/AT1G66840/AT1G69390/AT1G32500/AT2G48120/AT4G26150/AT5G26742/AT3G10350/AT2G30170/AT1G68590/AT1G08540/AT5G51020/AT2G28000/AT2G31040/AT4G20360/AT3G47520/AT3G54090/AT5G63420/AT2G34860/AT1G11870/AT3G19720/AT1G64500/AT2G46820/AT5G07900/AT2G30950/AT3G45780/AT3G24590/AT1G67440/AT5G23120/AT1G32080/AT2G33800/AT1G44000/AT3G63140/AT5G24314/AT5G55280/AT1G75010/AT4G37650/AT2G46340/AT5G59220/AT4G25910/AT2G20570/AT5G02250/AT4G38160/AT5G13770/AT3G46740/AT2G16365/AT2G31840/AT2G30520/AT3G10670/AT2G36000",126
"GO:0006091","generation of precursor metabolites and energy","135/2584","385/21006",0.350649350649351,2.85051867637007,13.7248682698341,1.65721418137268e-31,8.64237195585855e-29,8.64237195585855e-29,"AT5G66190/AT5G58330/AT3G08010/AT3G55330/AT1G70760/AT2G22480/AT5G01920/AT1G32070/AT3G27925/AT2G21330/AT3G54890/AT1G78995/AT4G19100/AT1G27680/AT2G01918/AT1G67740/AT1G64150/AT1G03600/AT3G04260/AT2G30570/AT1G54500/AT2G05100/AT1G01090/AT5G54270/AT4G30950/AT5G52100/AT1G56190/AT5G43330/AT3G56650/AT4G39210/AT1G29930/AT5G56350/AT3G15850/AT1G18730/AT2G40100/AT4G18370/AT4G34700/AT3G05410/AT3G46970/AT3G15095/AT1G34000/AT1G55480/AT1G14150/AT1G53310/AT4G10340/AT1G79040/AT1G15120/AT3G01480/AT1G68830/AT5G24120/AT1G68750/AT1G10960/AT4G05180/AT4G14890/AT4G02580/AT5G08720/AT3G22960/AT5G66760/AT5G64040/AT5G61410/AT4G04640/AT4G31390/AT4G26530/AT2G20420/AT5G44520/AT1G64190/AT3G01440/AT4G33470/AT3G61320/AT5G48300/AT3G56010/AT1G55370/AT3G47470/AT5G64210/AT3G08940/AT3G15840/AT3G60750/AT1G76570/AT1G77090/AT5G42740/AT3G61470/AT4G22890/AT1G61520/AT2G36530/AT2G21590/AT5G17310/AT1G06680/AT1G55670/AT4G23890/AT1G13440/AT3G16950/AT3G06483/AT1G74030/AT1G76450/AT5G52920/AT5G61580/AT4G01050/AT5G35790/AT4G38970/AT3G11670/AT2G34860/AT5G49740/AT5G24400/AT2G46820/AT3G55250/AT5G52840/AT2G30950/AT1G12230/AT3G50820/AT4G27800/AT5G23120/AT5G19220/AT1G75690/AT1G64770/AT4G01100/AT2G34590/AT5G08680/AT1G71500/AT2G05620/AT5G01500/AT3G04120/AT5G40810/AT3G25860/AT5G02120/AT1G15820/AT4G25910/AT3G63540/AT1G17350/AT4G33520/AT1G02910/AT4G09650/AT1G08380/AT4G02530/AT1G54780/AT3G54050",135
"GO:0042254","ribosome biogenesis","118/2584","325/21006",0.363076923076923,2.95154560609669,13.2792585458401,3.00518668923684e-29,1.25376388674961e-26,1.25376388674961e-26,"AT2G25870/AT4G21130/AT3G18600/AT2G43650/AT1G06190/AT3G03920/AT4G02400/AT3G02560/AT1G77030/AT3G10090/AT5G41190/AT3G23700/AT1G15440/AT1G23280/AT5G19820/AT2G04270/AT1G50920/AT5G20020/AT4G25630/AT4G27090/AT1G69070/AT1G63810/AT2G09990/AT3G52580/AT5G05210/AT5G46580/AT3G52905/AT5G13650/AT5G39740/AT4G28450/AT5G48240/AT3G06530/AT5G62440/AT1G30240/AT3G02080/AT3G62870/AT1G09340/AT3G23620/AT3G49910/AT5G67240/AT5G11010/AT5G27700/AT3G04770/AT3G46630/AT5G06360/AT2G40360/AT5G10910/AT4G25730/AT5G11240/AT2G01640/AT2G39140/AT3G01160/AT4G32720/AT1G31660/AT1G45230/AT4G15770/AT4G30150/AT3G09720/AT2G20490/AT2G32060/AT1G01080/AT3G55620/AT5G08180/AT5G21160/AT4G26600/AT3G56990/AT1G74270/AT1G60000/AT5G38720/AT2G19540/AT5G15750/AT3G57150/AT1G48630/AT3G61110/AT3G09500/AT2G48120/AT1G26880/AT3G49180/AT5G26742/AT4G24770/AT5G26180/AT5G59240/AT3G13580/AT5G63420/AT3G56690/AT5G16750/AT5G54910/AT3G22660/AT1G67440/AT3G49990/AT1G22270/AT2G37990/AT2G33800/AT3G13740/AT3G63140/AT3G11964/AT3G52150/AT1G03360/AT2G43810/AT2G37220/AT3G28460/AT2G47610/AT5G12220/AT5G39850/AT2G40430/AT3G09200/AT1G33390/AT1G52930/AT5G02250/AT5G66470/AT2G44820/AT1G03530/AT2G47300/AT1G25260/AT1G16280/AT5G17930/AT2G20450/AT3G57000",118
"GO:0009658","chloroplast organization","96/2584","243/21006",0.395061728395062,3.21155830753354,12.9866066797136,2.90172552449507e-27,1.00883324068279e-24,1.00883324068279e-24,"AT2G25870/AT3G08010/AT4G04850/AT4G39460/AT1G79600/AT5G58140/AT4G38470/AT4G01150/AT5G40270/AT5G46290/AT1G12410/AT5G24020/AT2G04270/AT1G21600/AT4G16390/AT2G40480/AT3G02380/AT4G28740/AT2G34620/AT5G08050/AT5G48470/AT2G16070/AT5G62440/AT3G57190/AT1G78600/AT1G20830/AT1G09340/AT3G25690/AT3G56940/AT3G46630/AT5G22640/AT5G61670/AT2G21280/AT1G42550/AT2G26570/AT1G74730/AT5G24120/AT2G36250/AT1G45230/AT5G24660/AT1G28530/AT5G22370/AT1G62750/AT5G56860/AT5G65460/AT2G37860/AT4G31390/AT1G64810/AT1G06950/AT1G24490/AT3G23400/AT1G63680/AT3G29185/AT3G56290/AT1G75100/AT5G17790/AT1G66840/AT1G69390/AT2G48120/AT4G26150/AT5G26742/AT3G10350/AT1G08540/AT5G51020/AT2G28000/AT2G31040/AT4G20360/AT3G47520/AT3G54090/AT5G63420/AT1G11870/AT3G19720/AT1G64500/AT2G46820/AT5G07900/AT2G30950/AT3G45780/AT1G67440/AT1G32080/AT1G44000/AT3G63140/AT5G24314/AT5G55280/AT1G75010/AT2G46340/AT5G59220/AT4G25910/AT2G20570/AT5G02250/AT4G38160/AT5G13770/AT3G46740/AT2G16365/AT2G31840/AT2G30520/AT2G36000",96
"GO:0022613","ribonucleoprotein complex biogenesis","126/2584","400/21006",0.315,2.56071594427245,11.8031037246409,1.43876673268542e-24,4.28752486340257e-22,4.28752486340257e-22,"AT2G25870/AT4G21130/AT3G18600/AT2G43650/AT5G27720/AT1G06190/AT3G03920/AT4G02400/AT3G02560/AT1G77030/AT3G10090/AT5G41190/AT3G23700/AT1G15440/AT1G23280/AT5G19820/AT2G04270/AT1G50920/AT5G20020/AT4G25630/AT4G27090/AT1G69070/AT1G63810/AT2G32600/AT2G09990/AT3G52580/AT5G05210/AT5G46580/AT3G52905/AT5G13650/AT5G39740/AT4G28450/AT5G48240/AT3G06530/AT5G62440/AT1G30240/AT3G02080/AT3G62870/AT1G09340/AT3G23620/AT3G49910/AT3G55340/AT5G67240/AT5G11010/AT5G27700/AT3G04770/AT3G46630/AT5G06360/AT2G40360/AT5G10910/AT4G02840/AT4G25730/AT5G11240/AT2G01640/AT2G39140/AT3G01160/AT4G32720/AT1G31660/AT1G45230/AT4G15770/AT4G30150/AT3G09720/AT2G20490/AT2G32060/AT1G01080/AT3G55620/AT5G08180/AT5G21160/AT4G26600/AT3G56990/AT1G74270/AT1G54385/AT1G60000/AT5G38720/AT2G19540/AT5G15750/AT3G57150/AT1G48630/AT5G67630/AT3G61110/AT3G09500/AT2G48120/AT1G26880/AT3G49180/AT5G26742/AT4G24770/AT5G26180/AT5G59240/AT3G18610/AT3G13580/AT5G63420/AT3G56690/AT5G16750/AT4G30330/AT5G54910/AT3G22660/AT1G67440/AT3G49990/AT1G22270/AT2G37990/AT2G33800/AT3G13740/AT3G63140/AT3G11964/AT3G52150/AT1G03360/AT2G43810/AT2G37220/AT3G28460/AT2G47610/AT5G12220/AT5G39850/AT2G40430/AT3G09200/AT1G33390/AT1G52930/AT5G02250/AT5G66470/AT2G44820/AT1G03530/AT2G47300/AT1G25260/AT1G16280/AT5G17930/AT2G20450/AT3G57000",126
"GO:0006364","rRNA processing","89/2584","239/21006",0.372384937238494,3.02721284505875,11.8045823719307,3.025568185063e-23,7.88916904255178e-21,7.88916904255178e-21,"AT2G25870/AT4G21130/AT3G18600/AT2G43650/AT1G06190/AT3G03920/AT4G02400/AT3G02560/AT1G77030/AT3G10090/AT5G41190/AT3G23700/AT1G15440/AT1G23280/AT2G04270/AT4G25630/AT1G69070/AT1G63810/AT2G09990/AT5G46580/AT3G52905/AT5G13650/AT4G28450/AT5G48240/AT3G06530/AT5G62440/AT1G30240/AT3G62870/AT1G09340/AT3G23620/AT5G67240/AT5G11010/AT5G27700/AT3G46630/AT5G06360/AT2G40360/AT5G10910/AT4G25730/AT5G11240/AT2G01640/AT2G39140/AT3G01160/AT4G32720/AT1G31660/AT1G45230/AT3G09720/AT2G20490/AT1G01080/AT3G55620/AT5G08180/AT4G26600/AT3G56990/AT1G60000/AT5G38720/AT5G15750/AT3G57150/AT3G09500/AT3G49180/AT4G24770/AT5G26180/AT5G59240/AT3G13580/AT5G63420/AT5G16750/AT5G54910/AT3G22660/AT1G22270/AT2G37990/AT2G33800/AT3G13740/AT3G63140/AT3G11964/AT3G52150/AT1G03360/AT2G43810/AT2G37220/AT3G28460/AT2G47610/AT5G12220/AT2G40430/AT1G33390/AT1G52930/AT5G02250/AT5G66470/AT2G44820/AT2G47300/AT1G25260/AT1G16280/AT3G57000",89
"GO:0016072","rRNA metabolic process","91/2584","262/21006",0.347328244274809,2.82352054924019,11.1238279764737,2.67117326822089e-21,6.19118604167643e-19,6.19118604167643e-19,"AT2G25870/AT4G21130/AT3G18600/AT2G43650/AT1G06190/AT3G03920/AT4G02400/AT3G02560/AT1G77030/AT3G10090/AT5G41190/AT3G23700/AT1G15440/AT1G23280/AT2G04270/AT4G25630/AT1G69070/AT1G63810/AT2G09990/AT5G46580/AT3G52905/AT5G13650/AT4G28450/AT5G48240/AT3G06530/AT3G61620/AT5G62440/AT1G30240/AT3G62870/AT1G09340/AT3G23620/AT5G67240/AT5G11010/AT5G27700/AT3G46630/AT5G06360/AT2G40360/AT5G10910/AT4G25730/AT5G11240/AT2G01640/AT2G39140/AT3G01160/AT4G32720/AT1G31660/AT1G45230/AT3G09720/AT2G20490/AT1G01080/AT3G55620/AT5G08180/AT4G26600/AT3G56990/AT1G75670/AT1G60000/AT5G38720/AT5G15750/AT3G57150/AT3G09500/AT3G49180/AT4G24770/AT5G26180/AT5G59240/AT3G13580/AT5G63420/AT5G16750/AT5G54910/AT3G22660/AT1G22270/AT2G37990/AT2G33800/AT3G13740/AT3G63140/AT3G11964/AT3G52150/AT1G03360/AT2G43810/AT2G37220/AT3G28460/AT2G47610/AT5G12220/AT2G40430/AT1G33390/AT1G52930/AT5G02250/AT5G66470/AT2G44820/AT2G47300/AT1G25260/AT1G16280/AT3G57000",91
"GO:0009767","photosynthetic electron transport chain","30/2584","47/21006",0.638297872340426,5.18888742507081,10.7671694467682,1.40341440577797e-16,2.92752245045284e-14,2.92752245045284e-14,"AT5G66190/AT1G70760/AT1G78995/AT2G01918/AT1G67740/AT4G30950/AT3G15850/AT1G18730/AT1G14150/AT4G05180/AT5G64040/AT4G04640/AT4G31390/AT3G01440/AT1G55370/AT4G22890/AT1G55670/AT4G23890/AT4G01050/AT5G49740/AT2G46820/AT2G30950/AT3G50820/AT4G27800/AT1G64770/AT2G05620/AT4G33520/AT4G09650/AT1G08380/AT3G54050",30
