"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","ath03010","Ribosome","110/973","394/6356",0.279187817258883,1.82375926669832,7.17719004146493,2.46951526781255e-11,3.38323591690319e-09,3.38323591690319e-09,"AT3G44590/AT3G10090/AT4G29430/AT3G56910/AT2G04390/AT1G43170/AT3G55280/AT5G24510/AT5G65220/AT5G02960/AT1G22780/AT4G02230/AT3G49080/AT4G01310/AT5G58420/AT1G67430/AT3G63490/AT4G30930/AT2G17360/AT5G39740/AT3G18760/AT2G24090/AT5G39850/AT1G26880/AT4G34670/AT5G66860/AT2G37270/AT4G17390/AT5G56710/AT5G02450/AT2G42740/AT3G62870/AT1G74050/AT3G09500/AT1G33120/AT3G49010/AT3G13580/AT2G21290/AT2G32060/AT5G13510/AT4G34555/AT5G10360/AT5G30510/AT3G16080/AT5G40950/AT1G26740/AT3G02080/AT4G31985/AT3G47370/AT3G04770/AT3G09630/AT3G61110/AT3G05590/AT1G74270/AT3G04920/AT4G28360/AT4G25890/AT3G49910/AT2G47610/AT5G04800/AT3G54210/AT1G23410/AT3G22230/AT5G20180/AT3G27850/AT3G59540/AT5G35530/AT3G09200/AT2G33800/AT3G52590/AT4G36130/AT5G54600/AT4G15000/AT3G45030/AT4G29410/AT4G27090/AT3G02560/AT3G04400/AT3G10950/AT4G18100/AT1G70600/AT4G14320/AT1G68590/AT2G34480/AT1G07320/AT2G37190/AT2G20450/AT2G47110/AT1G74970/AT1G64880/AT1G48630/AT3G48930/AT5G17870/AT1G07830/AT1G75350/AT3G52580/AT1G07770/AT2G09990/AT3G52150/AT3G13882/AT5G27700/AT5G59240/AT4G00100/AT4G37660/AT4G25740/AT3G05560/AT1G36240/AT5G48760/AT5G09510/AT1G02780",110
"Metabolism","Energy metabolism","ath00710","Carbon fixation by Calvin cycle","28/973","71/6356",0.394366197183099,2.57614753267808,5.6777387767967,6.24910857165473e-07,4.28063937158349e-05,4.28063937158349e-05,"AT3G47520/AT5G44520/AT4G38970/AT1G13440/AT1G43670/AT1G70580/AT1G53310/AT5G61410/AT4G00570/AT5G38410/AT1G67090/AT3G54050/AT4G26530/AT2G13560/AT3G60750/AT3G04120/AT1G12900/AT3G55800/AT1G42970/AT2G21330/AT1G56190/AT1G12230/AT5G43330/AT1G32060/AT5G09660/AT5G58330/AT4G15530/AT1G68750",28
"Metabolism","Global and overview maps","ath01200","Carbon metabolism","71/973","275/6356",0.258181818181818,1.68654022236756,4.94819537742473,2.70821716594269e-06,0.00012367525057805,0.00012367525057805,"AT4G34200/AT2G36530/AT1G01090/AT3G47520/AT5G44520/AT1G06550/AT4G38970/AT1G13440/AT4G37930/AT5G52920/AT1G43670/AT1G70580/AT1G53310/AT2G35120/AT5G61410/AT1G64190/AT4G00570/AT5G35790/AT1G17745/AT5G38410/AT1G67090/AT5G56350/AT4G33010/AT1G65930/AT5G66760/AT3G54050/AT3G51840/AT4G26530/AT2G13360/AT3G14420/AT2G13560/AT2G24270/AT2G34590/AT2G30650/AT3G60750/AT5G16390/AT1G68010/AT3G04120/AT2G22480/AT3G60510/AT5G61580/AT1G12900/AT3G55800/AT1G36370/AT1G32470/AT5G42740/AT1G42970/AT2G21330/AT3G16950/AT1G56190/AT4G37560/AT1G12230/AT5G43330/AT2G44160/AT5G24400/AT1G32060/AT3G22960/AT3G25530/AT5G09660/AT1G74030/AT4G35640/AT5G58330/AT1G11860/AT5G36700/AT4G13930/AT2G20420/AT4G15530/AT3G50520/AT3G25860/AT1G68750/AT5G48230",71
"Metabolism","Energy metabolism","ath00195","Photosynthesis","27/973","77/6356",0.350649350649351,2.2905727366159,4.84378229140369,1.35266864290884e-05,0.000463289010196276,0.000463289010196276,"AT5G66190/AT4G12800/AT4G05180/AT4G32260/AT4G09650/AT1G08380/AT4G28660/AT3G01440/AT1G20340/AT1G67740/AT2G20260/AT1G03600/AT1G44575/AT3G50820/AT1G79040/AT1G14150/AT1G30380/AT1G55670/AT1G10960/AT2G30570/AT4G14890/AT5G64040/AT3G55330/AT1G06680/AT1G31330/AT1G52230/AT4G04640",27
"Metabolism","Energy metabolism","ath00196","Photosynthesis - antenna proteins","12/973","22/6356",0.545454545454545,3.56311314584696,5.11967151120143,2.25624440905602e-05,0.000618210968081351,0.000618210968081351,"AT1G15820/AT2G05100/AT5G54270/AT4G10340/AT2G40100/AT1G61520/AT1G29930/AT3G61470/AT3G47470/AT3G08940/AT3G54890/AT1G76570",12
"Metabolism","Global and overview maps","ath01230","Biosynthesis of amino acids","60/973","242/6356",0.247933884297521,1.61959688447589,4.17788228069216,5.97212822701205e-05,0.00136363594516775,0.00136363594516775,"AT4G34200/AT2G36530/AT1G11790/AT3G58610/AT2G39800/AT2G29690/AT3G47340/AT5G44520/AT4G27070/AT4G38970/AT1G13440/AT4G37930/AT5G52920/AT1G70580/AT1G71920/AT5G05730/AT1G09795/AT1G80560/AT5G65780/AT4G33510/AT5G61410/AT2G22250/AT1G17745/AT5G56350/AT1G65930/AT5G34930/AT3G57560/AT4G19710/AT4G26530/AT5G17990/AT3G48560/AT1G50090/AT3G60750/AT3G04120/AT2G22480/AT5G61580/AT1G36370/AT1G02500/AT2G21330/AT5G35630/AT1G56190/AT1G12230/AT5G37600/AT3G22960/AT3G14390/AT5G17920/AT1G74030/AT4G35640/AT4G39980/AT1G75330/AT4G29840/AT1G25155/AT5G38530/AT3G59890/AT4G13930/AT2G37500/AT3G50520/AT1G74040/AT5G14800/AT2G17265",60
"Metabolism","Biosynthesis of other secondary metabolites","ath00941","Flavonoid biosynthesis","12/973","25/6356",0.48,3.13553956834532,4.54824109527569,0.000116056008573357,0.00227138188207855,0.00227138188207855,"AT3G51240/AT5G08640/AT5G48930/AT5G07990/AT2G19070/AT5G63580/AT5G42800/AT2G30490/AT2G40890/AT3G55120/AT5G13930/AT4G34050",12
"Metabolism","Global and overview maps","ath01212","Fatty acid metabolism","23/973","70/6356",0.328571428571429,2.14635149023638,4.09997906557403,0.000181491663344664,0.00310804473477737,0.00310804473477737,"AT1G74960/AT2G43710/AT3G12120/AT3G55360/AT2G47240/AT3G23790/AT5G10480/AT3G51840/AT5G16390/AT1G67730/AT2G22230/AT1G43800/AT1G49430/AT2G05990/AT2G30200/AT1G77590/AT5G46290/AT4G23850/AT2G33150/AT1G08510/AT1G24360/AT4G14070/AT5G48230",23
"Metabolism","Metabolism of cofactors and vitamins","ath00670","One carbon pool by folate","16/973","42/6356",0.380952380952381,2.48852346694073,4.11462300476987,0.000260922161483349,0.00397181512480209,0.00397181512480209,"AT4G37930/AT2G35120/AT4G33010/AT4G13940/AT5G47435/AT1G36370/AT1G32470/AT1G02500/AT3G16950/AT3G25900/AT2G44160/AT5G13050/AT1G11860/AT3G22740/AT4G13930/AT2G35040",16
"Metabolism","Carbohydrate metabolism","ath00630","Glyoxylate and dicarboxylate metabolism","25/973","81/6356",0.308641975308642,2.01616484590106,3.91292765567722,0.00029334914204706,0.00401888324604472,0.00401888324604472,"AT3G47520/AT4G37930/AT1G70580/AT2G35120/AT5G38410/AT1G67090/AT4G33010/AT2G13360/AT3G14420/AT5G04140/AT5G47435/AT1G68010/AT1G36370/AT1G32470/AT3G16950/AT5G35630/AT4G37560/AT5G37600/AT5G43330/AT3G25530/AT5G09660/AT1G11860/AT5G36700/AT4G13930/AT5G48230",25
"Metabolism","Lipid metabolism","ath00061","Fatty acid biosynthesis","16/973","43/6356",0.372093023255814,2.43065082817467,4.00176877695256,0.000357388910802952,0.00445111643454585,0.00445111643454585,"AT1G74960/AT2G43710/AT2G47240/AT3G23790/AT5G16390/AT2G22230/AT1G43800/AT1G49430/AT2G05990/AT2G30200/AT1G77590/AT5G46290/AT4G23850/AT1G08510/AT1G24360/AT4G14070",16
"Metabolism","Metabolism of terpenoids and polyketides","ath00906","Carotenoid biosynthesis","13/973","32/6356",0.40625,2.65377697841727,3.98710807808677,0.000473371562914981,0.00493291292434784,0.00493291292434784,"AT1G08550/AT3G04870/AT1G31800/AT4G19170/AT1G10830/AT4G14210/AT4G25700/AT5G17230/AT5G67030/AT2G29090/AT2G27150/AT3G10230/AT3G53130",13
"Metabolism","Amino acid metabolism","ath00260","Glycine, serine and threonine metabolism","22/973","70/6356",0.314285714285714,2.0530318602261,3.76621709753196,0.000504325635923747,0.00493291292434784,0.00493291292434784,"AT4G34200/AT1G31690/AT2G24580/AT4G27070/AT4G37930/AT1G70580/AT2G35120/AT1G17745/AT4G33010/AT4G19710/AT2G13360/AT1G68010/AT1G36370/AT1G32470/AT3G16950/AT4G12290/AT4G29840/AT5G38530/AT1G11860/AT4G13930/AT3G50520/AT2G17265",22
"Metabolism","Metabolism of cofactors and vitamins","ath00860","Porphyrin metabolism","19/973","57/6356",0.333333333333333,2.17745803357314,3.79619985698794,0.000529588844294677,0.00493291292434784,0.00493291292434784,"AT5G56090/AT5G43860/AT5G26030/AT1G58290/AT3G56940/AT5G18660/AT5G54190/AT1G44446/AT1G74470/AT3G14930/AT5G01600/AT2G30390/AT3G51820/AT4G25080/AT1G44000/AT2G40300/AT1G04620/AT5G13630/AT3G09150",19
"Genetic Information Processing","Translation","ath03008","Ribosome biogenesis in eukaryotes","28/973","98/6356",0.285714285714286,1.86639260020555,3.6746163279653,0.000540099955220567,0.00493291292434784,0.00493291292434784,"AT3G03920/AT1G63810/AT5G20020/AT4G25630/AT4G07410/AT5G08180/AT3G07050/AT4G02400/AT5G66540/AT5G14050/AT3G05060/AT3G57150/AT5G67240/AT5G16750/AT1G15440/AT3G55620/AT2G47300/AT2G21440/AT2G20490/AT1G56110/AT5G37350/AT3G06530/AT1G50920/AT5G11240/AT3G57000/AT5G41190/AT5G15750/AT5G38720",28
"Metabolism","Carbohydrate metabolism","ath00010","Glycolysis / Gluconeogenesis","31/973","119/6356",0.260504201680672,1.70171090018741,3.2850791599497,0.00153371122594741,0.0131324023721747,0.0131324023721747,"AT2G36530/AT3G61610/AT3G48000/AT1G01090/AT5G01320/AT5G51820/AT4G38970/AT1G13440/AT5G52920/AT1G43670/AT5G56350/AT3G54050/AT4G26530/AT2G24270/AT2G34590/AT4G36250/AT3G04120/AT2G22480/AT1G76550/AT5G61580/AT5G42740/AT2G21330/AT3G16950/AT1G56190/AT1G09870/AT4G34240/AT3G22960/AT1G74030/AT4G15530/AT3G50520/AT3G25860",31
"Metabolism","Carbohydrate metabolism","ath00030","Pentose phosphate pathway","18/973","58/6356",0.310344827586207,2.02728851401637,3.34123566614989,0.00187081319487047,0.0150765533939561,0.0150765533939561,"AT5G44520/AT5G51820/AT4G38970/AT1G43670/AT5G61410/AT1G64190/AT5G35790/AT3G54050/AT4G26530/AT2G24270/AT3G60750/AT2G22480/AT1G76550/AT5G61580/AT5G42740/AT2G21330/AT1G12230/AT5G24400",18
"Metabolism","Carbohydrate metabolism","ath00620","Pyruvate metabolism","25/973","97/6356",0.257731958762887,1.68360157235037,2.88428686368476,0.00489445873236867,0.037252269240806,0.037252269240806,"AT1G06130/AT3G48000/AT1G01090/AT3G47520/AT5G52920/AT1G53310/AT1G67280/AT4G00570/AT5G56350/AT2G13560/AT1G11840/AT2G34590/AT5G16390/AT4G36250/AT3G16950/AT5G43330/AT4G34240/AT3G22960/AT5G09660/AT5G58330/AT4G15530/AT3G25860/AT1G74040/AT1G68750/AT5G48230",25
