"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ath01200","Carbon metabolism","101/1496","275/6356",0.367272727272727,1.56041808458921,5.27104138726693,3.47655798403041e-07,4.76288443812166e-05,4.76288443812166e-05,"AT3G52990/AT1G17290/AT3G54050/AT2G36530/AT1G01090/AT2G01290/AT1G22430/AT5G47810/AT3G16910/AT1G12230/AT3G25860/AT1G22170/AT1G56190/AT5G16390/AT1G53310/AT1G43670/AT3G16950/AT5G61410/AT2G38400/AT2G14170/AT4G34200/AT2G30970/AT1G17745/AT3G50520/AT1G42970/AT2G44160/AT5G38410/AT3G04120/AT5G09660/AT5G36700/AT4G39660/AT5G61580/AT1G70580/AT2G21330/AT5G43330/AT1G65930/AT1G74030/AT5G66760/AT1G22440/AT5G65110/AT2G13560/AT1G67090/AT2G30650/AT2G22480/AT5G35790/AT3G51840/AT3G55800/AT4G15530/AT3G15290/AT5G24400/AT5G14780/AT4G00570/AT2G34590/AT3G13110/AT3G60750/AT5G65690/AT3G14420/AT2G13360/AT1G32470/AT4G26270/AT4G13930/AT3G60510/AT1G36370/AT1G12900/AT1G32060/AT4G37870/AT4G37560/AT4G26530/AT1G11860/AT4G35640/AT5G25880/AT5G18170/AT5G58330/AT3G25530/AT4G35090/AT4G16760/AT3G58750/AT1G50460/AT1G68010/AT2G24270/AT5G56350/AT2G35120/AT3G22460/AT1G68750/AT5G42740/AT4G33010/AT3G22960/AT5G48230/AT2G20420/AT5G52920/AT2G16790/AT4G37930/AT1G13440/AT5G43940/AT1G06550/AT4G38970/AT5G44520/AT1G64190/AT5G11520/AT3G47520/AT5G07440",101
"Metabolism","Energy metabolism","ath00710","Carbon fixation by Calvin cycle","35/1496","71/6356",0.492957746478873,2.09441138811478,5.14472986882983,1.78971029153527e-06,0.000122595154970166,0.000122595154970166,"AT1G17290/AT3G54050/AT2G01290/AT1G12230/AT1G56190/AT1G53310/AT1G43670/AT5G61410/AT2G30970/AT1G42970/AT5G38410/AT3G04120/AT5G09660/AT1G70580/AT2G21330/AT5G43330/AT2G13560/AT1G67090/AT3G55800/AT4G15530/AT4G00570/AT3G60750/AT5G65690/AT1G12900/AT1G32060/AT4G37870/AT4G26530/AT5G25880/AT5G58330/AT1G68750/AT1G13440/AT4G38970/AT5G44520/AT5G11520/AT3G47520",35
"Metabolism","Amino acid metabolism","ath00280","Valine, leucine and isoleucine degradation","26/1496","52/6356",0.5,2.12433155080214,4.51641048631532,2.77322378421788e-05,0.000989125315778811,0.000989125315778811,"AT4G34030/AT3G48000/AT1G03090/AT3G06850/AT4G29120/AT1G50090/AT1G10070/AT3G16950/AT4G16210/AT2G38400/AT2G14170/AT4G36250/AT4G39660/AT2G30650/AT1G44170/AT5G09300/AT3G60510/AT4G34240/AT5G65780/AT4G11820/AT4G16800/AT2G33150/AT1G71180/AT5G48230/AT1G06550/AT3G45300",26
"Metabolism","Carbohydrate metabolism","ath00010","Glycolysis / Gluconeogenesis","48/1496","119/6356",0.403361344537815,1.71374646115131,4.36048720242465,2.90009409682527e-05,0.000989125315778811,0.000989125315778811,"AT3G52990/AT3G54050/AT2G36530/AT1G01090/AT3G61610/AT3G48000/AT1G22430/AT5G47810/AT3G16910/AT3G25860/AT1G77120/AT1G22170/AT1G56190/AT1G43670/AT3G16950/AT3G50520/AT4G36250/AT3G04120/AT5G61580/AT2G21330/AT1G74030/AT1G22440/AT2G22480/AT1G44170/AT4G15530/AT5G15140/AT2G34590/AT5G65690/AT4G26270/AT4G17260/AT1G09870/AT4G34240/AT4G37870/AT4G23730/AT4G26530/AT1G76550/AT1G50460/AT5G01320/AT5G54960/AT2G24270/AT5G56350/AT5G42740/AT3G22960/AT5G52920/AT1G13440/AT5G43940/AT5G51820/AT4G38970",48
"Metabolism","Lipid metabolism","ath00071","Fatty acid degradation","24/1496","47/6356",0.51063829787234,2.16953009443623,4.46463034197334,3.60994640795186e-05,0.000989125315778811,0.000989125315778811,"AT3G48000/AT1G22430/AT1G49430/AT1G77120/AT4G16210/AT3G23790/AT1G65520/AT4G36250/AT1G22440/AT5G65110/AT3G51840/AT1G44170/AT1G77590/AT4G14430/AT4G34240/AT3G06860/AT4G23850/AT3G05970/AT4G16760/AT2G47240/AT2G33150/AT4G14070/AT5G48230/AT5G43940",24
"Organismal Systems","Environmental adaptation","ath04626","Plant-pathogen interaction","76/1496","216/6356",0.351851851851852,1.4948999801941,4.10549536362942,5.62389711407383e-05,0.00128412317438019,0.00128412317438019,"AT1G68530/AT1G21550/AT2G26250/AT3G25600/AT1G18210/AT3G59350/AT5G04530/AT2G34930/AT2G14580/AT2G28260/AT3G50530/AT3G50770/AT4G02930/AT4G04720/AT3G43810/AT2G38910/AT2G04880/AT1G19440/AT2G15680/AT4G08500/AT4G01370/AT2G38470/AT4G24190/AT1G01120/AT5G24430/AT3G57530/AT3G51850/AT5G54250/AT3G20410/AT1G76040/AT5G37780/AT4G01010/AT2G24610/AT2G27480/AT5G04870/AT1G18890/AT1G24620/AT5G20480/AT3G21630/AT3G07490/AT5G23580/AT3G17700/AT2G28630/AT5G53130/AT3G62220/AT1G09090/AT3G48080/AT1G64060/AT5G51700/AT4G23550/AT4G39090/AT4G09570/AT3G25070/AT3G45640/AT3G07770/AT5G52640/AT2G04030/AT1G76650/AT4G01250/AT1G04220/AT5G15410/AT5G66210/AT4G20360/AT3G28910/AT5G43760/AT5G56270/AT5G46330/AT1G80460/AT4G33430/AT3G17410/AT5G56030/AT2G17290/AT5G12480/AT2G26640/AT4G12860/AT2G41410",76
"Metabolism","Metabolism of other amino acids","ath00410","beta-Alanine metabolism","23/1496","47/6356",0.48936170212766,2.07913300716805,4.11954338733788,0.000122406081187993,0.00239566187467929,0.00239566187467929,"AT1G31690/AT3G48000/AT4G16210/AT2G14170/AT4G36250/AT3G17760/AT5G65110/AT2G30650/AT3G51840/AT1G44170/AT5G17330/AT3G60510/AT4G34240/AT4G29720/AT1G31710/AT4G12290/AT1G65840/AT4G16760/AT3G59050/AT5G13700/AT2G42490/AT3G17810/AT1G06550",23
"Metabolism","Lipid metabolism","ath00592","alpha-Linolenic acid metabolism","22/1496","46/6356",0.478260869565217,2.03196930946292,3.89705430303405,0.000260974059590102,0.00446918077048049,0.00446918077048049,"AT3G45140/AT3G03310/AT1G77120/AT5G42650/AT1G19640/AT4G19860/AT3G25760/AT5G65110/AT2G06050/AT3G51840/AT1G76690/AT1G17420/AT3G06860/AT2G06925/AT5G04040/AT4G16760/AT3G01420/AT2G33150/AT4G13010/AT1G13280/AT3G25780/AT1G20510",22
"Metabolism","Global and overview maps","ath01230","Biosynthesis of amino acids","79/1496","242/6356",0.326446280991736,1.38696026870553,3.40499737412239,0.000635508343611725,0.00876629152740501,0.00876629152740501,"AT3G52990/AT1G17290/AT2G36530/AT4G19710/AT2G29690/AT2G01290/AT5G47810/AT1G12230/AT1G22170/AT1G50090/AT1G56190/AT5G17920/AT1G10070/AT5G61410/AT2G22250/AT4G33510/AT4G01850/AT4G34200/AT2G30970/AT3G47340/AT1G17745/AT3G50520/AT5G10870/AT1G02500/AT3G04120/AT5G61580/AT1G71920/AT1G70580/AT2G21330/AT1G65930/AT1G74030/AT3G06350/AT5G37600/AT4G29840/AT2G22480/AT5G05730/AT3G17390/AT1G80560/AT3G13110/AT1G74040/AT5G35630/AT3G60750/AT4G37670/AT2G37500/AT4G26270/AT4G13930/AT1G36370/AT2G39800/AT5G34930/AT1G09795/AT1G08630/AT4G27070/AT4G26530/AT5G38530/AT4G35640/AT4G39980/AT1G75330/AT5G65780/AT3G48560/AT3G59890/AT3G57560/AT3G58750/AT5G56350/AT3G22460/AT2G17265/AT3G22960/AT5G17990/AT5G14800/AT3G14390/AT5G52920/AT4G37930/AT1G13440/AT4G38970/AT5G44520/AT3G58610/AT1G25155/AT5G11520/AT1G11790/AT2G27820",79
"Metabolism","Global and overview maps","ath01212","Fatty acid metabolism","29/1496","70/6356",0.414285714285714,1.76016042780749,3.54790946248483,0.000639875293971169,0.00876629152740501,0.00876629152740501,"AT1G74960/AT1G49430/AT1G08510/AT5G16390/AT4G16210/AT2G43710/AT1G67730/AT3G23790/AT2G22230/AT5G65110/AT3G51840/AT3G12120/AT5G10480/AT1G77590/AT1G62640/AT5G46290/AT3G06860/AT2G05990/AT2G30200/AT4G23850/AT3G05970/AT4G16760/AT2G47240/AT2G33150/AT3G55360/AT4G14070/AT5G48230/AT1G24360/AT1G43800",29
